北海道,10,1
東北,20,1
京浜,30,1
中部,40,1
関西,50,1
九州,60,1
北関東,70,1
非デポ枠,09,0
センターロック,08,0
一般在庫,なし,0
調整在庫,99,0
IMA,90,0
GM/IAL,91,0
INAC,92,0
海外一般,93,0
IIF,94,0
特別在庫,なし,0
その他,なし,0
